algo,controle,risque,graine,score,temps_s,fin
glouton,espace,loin_queue,608,105,210.0,mort
glouton,espace,loin_queue,609,214,1976.2,boucle
glouton,espace,loin_queue,610,211,1539.2,boucle
glouton,espace,loin_queue,611,211,1699.8,boucle
glouton,espace,loin_queue,628,218,1718.2,boucle
glouton,espace,loin_queue,629,207,970.6,mort
glouton,espace,loin_queue,630,119,328.4,mort
glouton,espace,loin_queue,631,133,367.8,mort
glouton,espace,loin_queue,616,216,1758.8,boucle
glouton,espace,loin_queue,617,120,340.2,mort
glouton,espace,loin_queue,618,212,1053.0,mort
glouton,espace,loin_queue,619,214,1653.0,boucle
glouton,espace,loin_queue,620,92,166.6,mort
glouton,espace,loin_queue,621,215,1485.2,boucle
glouton,espace,loin_queue,622,208,1688.6,boucle
glouton,espace,loin_queue,623,196,1664.4,mort
glouton,espace,loin_queue,624,215,954.0,mort
glouton,espace,loin_queue,625,223,950.0,victoire
glouton,espace,loin_queue,626,221,1576.2,boucle
glouton,espace,loin_queue,627,209,868.0,mort
glouton,espace,loin_queue,636,133,419.6,mort
glouton,espace,loin_queue,637,205,2080.0,boucle
glouton,espace,loin_queue,638,211,791.0,mort
glouton,espace,loin_queue,639,119,299.0,mort
glouton,espace,loin_queue,656,209,1035.8,mort
glouton,espace,loin_queue,657,141,486.0,mort
glouton,espace,loin_queue,658,124,334.6,mort
glouton,espace,loin_queue,659,203,986.0,mort
glouton,espace,loin_queue,660,135,449.8,mort
glouton,espace,loin_queue,661,215,1487.0,boucle
glouton,espace,loin_queue,662,121,401.2,mort
glouton,espace,loin_queue,663,209,963.2,mort
glouton,espace,loin_queue,640,215,1480.2,boucle
glouton,espace,loin_queue,641,93,169.0,mort
glouton,espace,loin_queue,642,209,1954.4,boucle
glouton,espace,loin_queue,643,221,1478.6,boucle
glouton,espace,loin_queue,632,210,950.4,mort
glouton,espace,loin_queue,633,215,1598.8,boucle
glouton,espace,loin_queue,634,208,1496.4,boucle
glouton,espace,loin_queue,635,214,1619.8,boucle
glouton,espace,loin_queue,668,93,198.2,mort
glouton,espace,loin_queue,669,220,1616.8,boucle
glouton,espace,loin_queue,670,214,1049.2,mort
glouton,espace,loin_queue,671,222,872.2,mort
glouton,espace,loin_queue,644,213,1049.0,mort
glouton,espace,loin_queue,645,174,876.8,mort
glouton,espace,loin_queue,646,220,1503.8,boucle
glouton,espace,loin_queue,647,215,1594.6,boucle
glouton,espace,loin_queue,652,199,1054.2,mort
glouton,espace,loin_queue,653,211,1494.6,boucle
glouton,espace,loin_queue,654,162,1034.4,mort
glouton,espace,loin_queue,655,185,1301.8,mort
glouton,espace,loin_queue,664,127,329.2,mort
glouton,espace,loin_queue,665,213,1689.8,boucle
glouton,espace,loin_queue,666,181,1166.0,mort
glouton,espace,loin_queue,667,169,1279.0,boucle
glouton,espace,loin_queue,648,174,923.4,mort
glouton,espace,loin_queue,649,215,1696.4,boucle
glouton,espace,loin_queue,650,204,913.8,mort
