partie,score,record,mean100,epsilon,steps,temps_s,victoire
318,23,54,26.990,0.0100,64685,493.1,0
319,40,54,26.980,0.0100,65060,496.1,0
320,20,54,27.070,0.0100,65219,497.5,0
321,16,54,26.900,0.0100,65356,498.6,0
322,39,54,27.060,0.0100,65756,501.9,0
323,19,54,27.030,0.0100,65926,503.6,0
324,19,54,26.990,0.0100,66091,505.2,0
325,61,61,27.230,0.0100,66660,509.9,0
326,24,61,27.190,0.0100,66929,512.0,0
327,32,61,27.160,0.0100,67209,514.2,0
328,12,61,27.000,0.0100,67302,515.0,0
329,38,61,27.200,0.0100,67683,518.1,0
330,43,61,27.290,0.0100,68094,521.7,0
331,19,61,27.110,0.0100,68247,523.1,0
332,31,61,27.120,0.0100,68522,525.7,0
333,25,61,27.210,0.0100,68744,527.9,0
334,32,61,27.370,0.0100,69041,530.5,0
335,25,61,27.330,0.0100,69274,532.4,0
336,28,61,27.380,0.0100,69518,534.5,0
337,23,61,27.490,0.0100,69727,536.3,0
338,19,61,27.340,0.0100,69864,537.5,0
339,27,61,27.240,0.0100,70124,539.7,0
340,40,61,27.500,0.0100,70488,542.9,0
341,21,61,27.350,0.0100,70661,544.5,0
342,13,61,27.120,0.0100,70747,545.2,0
343,39,61,27.130,0.0100,71089,548.2,0
344,19,61,26.990,0.0100,71278,549.7,0
345,32,61,27.120,0.0100,71546,551.7,0
346,19,61,27.120,0.0100,71718,553.1,0
347,42,61,27.290,0.0100,72109,556.3,0
348,16,61,27.080,0.0100,72250,557.6,0
349,38,61,27.250,0.0100,72600,560.3,0
350,8,61,27.160,0.0100,72675,560.9,0
351,40,61,27.410,0.0100,73000,563.5,0
352,16,61,27.400,0.0100,73150,564.7,0
353,19,61,27.350,0.0100,73305,565.9,0
354,21,61,27.380,0.0100,73465,567.2,0
355,32,61,27.330,0.0100,73773,569.6,0
356,18,61,27.080,0.0100,73924,570.9,0
357,9,61,26.880,0.0100,73997,571.5,0
358,28,61,26.630,0.0100,74193,573.3,0
359,14,61,26.530,0.0100,74306,574.2,0
360,18,61,26.270,0.0100,74465,575.5,0
361,47,61,26.360,0.0100,74883,579.1,0
362,33,61,26.410,0.0100,75175,581.5,0
363,13,61,26.290,0.0100,75298,582.6,0
364,23,61,26.290,0.0100,75457,583.9,0
365,51,61,26.570,0.0100,75908,587.7,0
366,40,61,26.770,0.0100,76216,590.2,0
367,31,61,26.980,0.0100,76500,592.6,0
368,29,61,27.140,0.0100,76782,595.1,0
369,22,61,27.140,0.0100,76924,596.3,0
370,51,61,27.400,0.0100,77388,600.4,0
371,36,61,27.400,0.0100,77713,603.2,0
372,29,61,27.280,0.0100,77979,605.4,0
373,15,61,27.210,0.0100,78138,606.8,0
374,43,61,27.540,0.0100,78544,610.2,0
375,38,61,27.840,0.0100,78866,613.1,0
376,23,61,27.640,0.0100,79092,614.9,0
377,27,61,27.390,0.0100,79307,616.7,0
378,14,61,27.040,0.0100,79441,617.7,0
379,31,61,26.970,0.0100,79707,619.8,0
380,44,61,27.290,0.0100,80114,623.2,0
381,20,61,27.310,0.0100,80298,624.7,0
382,34,61,27.110,0.0100,80552,626.9,0
383,20,61,27.140,0.0100,80710,628.3,0
384,25,61,27.170,0.0100,80930,630.5,0
385,23,61,27.300,0.0100,81106,632.1,0
386,16,61,27.070,0.0100,81231,633.3,0
387,39,61,27.240,0.0100,81554,636.7,0
388,23,61,27.310,0.0100,81779,638.9,0
389,58,61,27.660,0.0100,82435,644.9,0
390,31,61,27.820,0.0100,82707,647.3,0
391,22,61,27.650,0.0100,82918,649.2,0
392,35,61,27.610,0.0100,83200,651.7,0
393,18,61,27.620,0.0100,83360,653.0,0
394,37,61,27.490,0.0100,83725,656.2,0
395,20,61,27.470,0.0100,83900,657.6,0
396,42,61,27.560,0.0100,84330,661.4,0
397,34,61,27.810,0.0100,84665,664.4,0
398,25,61,27.760,0.0100,84908,666.6,0
399,19,61,27.810,0.0100,85079,668.0,0
400,32,61,27.850,0.0100,85353,670.5,0
401,32,61,27.930,0.0100,85635,675.5,0
402,46,61,28.050,0.0100,86057,679.0,0
403,19,61,28.020,0.0100,86350,681.5,0
404,27,61,27.920,0.0100,86649,683.7,0
405,14,61,27.840,0.0100,86752,684.5,0
406,36,61,27.910,0.0100,87117,687.3,0
407,46,61,28.160,0.0100,87538,690.6,0
408,30,61,28.130,0.0100,87812,692.9,0
409,34,61,28.140,0.0100,88152,695.8,0
410,27,61,28.100,0.0100,88373,697.5,0
411,11,61,28.070,0.0100,88450,698.2,0
412,14,61,27.860,0.0100,88546,699.0,0
413,33,61,28.000,0.0100,88838,701.5,0
414,27,61,28.020,0.0100,89084,703.6,0
415,43,61,28.280,0.0100,89489,706.9,0
416,65,65,28.650,0.0100,90197,712.8,0
417,32,65,28.660,0.0100,90450,714.7,0
418,38,65,28.810,0.0100,90812,717.5,0
419,33,65,28.740,0.0100,91164,720.2,0
420,30,65,28.840,0.0100,91439,722.5,0
421,21,65,28.890,0.0100,91615,723.9,0
422,22,65,28.720,0.0100,91799,725.4,0
423,27,65,28.800,0.0100,91990,727.1,0
424,30,65,28.910,0.0100,92252,729.2,0
425,41,65,28.710,0.0100,92646,732.7,0
426,28,65,28.750,0.0100,92888,734.7,0
427,26,65,28.690,0.0100,93123,736.5,0
428,39,65,28.960,0.0100,93470,739.4,0
429,21,65,28.790,0.0100,93635,740.8,0
430,31,65,28.670,0.0100,93918,743.1,0
431,13,65,28.610,0.0100,94022,743.9,0
432,18,65,28.480,0.0100,94185,745.1,0
433,26,65,28.490,0.0100,94403,746.8,0
