cycle,threshold,seed,victory,score,steps,cause,fill,switch_step,switch_fill,switch_by,secours,ordered_step,transition_steps,shortcuts,rebuilds,rebuild_kept,rebuild_fails,seconds
temporel,0.7,1018,True,223,5187,victoire,1.0,2564,0.7022222222222222,seuil,24,2564,0,0,46,17,9,4.07
temporel,0.7,1019,False,220,5624,corps,0.9911111111111112,2815,0.7022222222222222,seuil,15,2815,0,0,42,18,8,3.86
temporel,0.7,1020,True,223,4929,victoire,1.0,2443,0.7022222222222222,seuil,3,2443,0,0,41,22,7,3.15
temporel,0.7,1021,False,221,4947,corps,0.9955555555555555,2773,0.7155555555555555,seuil,2,2773,0,0,44,16,4,2.27
temporel,0.7,1022,True,223,5454,victoire,1.0,2669,0.7022222222222222,seuil,1,2669,0,0,36,25,8,3.42
temporel,0.7,1023,True,223,5135,victoire,1.0,2840,0.7022222222222222,seuil,48,2840,0,0,36,25,9,3.57
temporel,0.7,1024,True,223,5213,victoire,1.0,2651,0.7111111111111111,seuil,13,2651,0,0,37,25,6,2.97
temporel,0.7,1025,True,223,4842,victoire,1.0,2523,0.7022222222222222,seuil,1,2523,0,0,30,26,13,3.49
temporel,0.7,1026,True,223,5066,victoire,1.0,2518,0.7022222222222222,seuil,32,2518,0,0,48,17,6,2.53
temporel,0.7,1027,True,223,4917,victoire,1.0,2297,0.7022222222222222,seuil,4,2297,0,0,41,23,7,3.89
temporel,0.7,1028,False,221,5180,corps,0.9955555555555555,2385,0.7022222222222222,seuil,9,2385,0,0,37,17,15,3.68
temporel,0.7,1029,True,223,5212,victoire,1.0,2646,0.7022222222222222,seuil,1,2646,0,0,44,20,5,2.62
temporel,0.8,1000,True,223,5379,victoire,1.0,3928,0.8,seuil,82,3928,0,0,31,13,4,2.3
temporel,0.8,1001,True,223,4660,victoire,1.0,3134,0.8,seuil,87,3134,0,0,27,13,9,2.92
temporel,0.8,1002,True,223,5240,victoire,1.0,3468,0.8,seuil,235,3468,0,0,27,16,8,3.08
temporel,0.8,1003,True,223,4554,victoire,1.0,3234,0.8,seuil,1,3234,0,0,21,20,6,2.29
temporel,0.8,1004,True,223,4859,victoire,1.0,2993,0.8,seuil,2,2993,0,0,30,16,2,2.14
temporel,0.8,1005,True,223,5739,victoire,1.0,3945,0.8044444444444444,seuil,1,3945,0,0,24,19,3,2.33
temporel,0.8,1006,True,223,6045,victoire,1.0,3986,0.8,seuil,12,3986,0,0,25,15,8,2.59
temporel,0.8,1007,True,223,5889,victoire,1.0,3907,0.8,seuil,3,3907,0,0,30,15,3,2.38
temporel,0.8,1008,False,221,4942,corps,0.9955555555555555,3392,0.8044444444444444,seuil,2,3392,0,0,26,13,5,2.45
temporel,0.8,1009,True,223,5798,victoire,1.0,3850,0.8044444444444444,seuil,5,3850,0,0,29,12,7,3.41
temporel,0.8,1010,False,219,5895,corps,0.9866666666666667,3924,0.8088888888888889,seuil,5,3924,0,0,28,6,9,3.36
temporel,0.8,1011,True,223,4617,victoire,1.0,3505,0.8533333333333334,seuil,5,3505,0,0,21,11,4,5.63
temporel,0.8,1012,True,223,5015,victoire,1.0,3505,0.8,seuil,68,3505,0,0,31,11,8,2.84
temporel,0.8,1013,True,223,5101,victoire,1.0,3060,0.8,seuil,1,3060,0,0,29,15,3,2.39
temporel,0.8,1014,True,223,5513,victoire,1.0,3766,0.8044444444444444,seuil,5,3766,0,0,20,18,9,3.6
temporel,0.8,1015,True,223,5850,victoire,1.0,3794,0.8,seuil,22,3794,0,0,30,15,3,3.85
temporel,0.8,1016,True,223,5380,victoire,1.0,3713,0.8044444444444444,seuil,2,3713,0,0,19,21,6,2.55
temporel,0.8,1017,False,220,7861,boucle,0.9911111111111112,3777,0.8,seuil,2254,3777,0,0,23,12,10,4.45
temporel,0.8,1018,True,223,5091,victoire,1.0,3438,0.8,seuil,217,3438,0,0,24,15,10,2.98
temporel,0.8,1019,True,223,5562,victoire,1.0,3662,0.8,seuil,1,3662,0,0,23,20,4,2.86
temporel,0.8,1020,True,223,4777,victoire,1.0,3354,0.8,seuil,1,3354,0,0,19,26,2,2.34
temporel,0.8,1021,False,221,5111,corps,0.9955555555555555,3489,0.8088888888888889,seuil,3,3489,0,0,26,11,7,2.7
temporel,0.8,1022,False,221,5850,corps,0.9955555555555555,4013,0.8,seuil,3,4013,0,0,24,15,7,3.62
temporel,0.8,1023,True,223,5577,victoire,1.0,3420,0.8044444444444444,seuil,2,3420,0,0,23,18,6,3.53
temporel,0.8,1024,True,223,5455,victoire,1.0,3502,0.8044444444444444,seuil,1,3502,0,0,26,18,2,2.28
temporel,0.8,1025,True,223,5254,victoire,1.0,3652,0.8133333333333334,seuil,1,3652,0,0,18,22,4,3.15
temporel,0.8,1026,True,223,5393,victoire,1.0,3421,0.8044444444444444,seuil,56,3421,0,0,25,16,6,2.93
temporel,0.8,1027,True,223,5181,victoire,1.0,3267,0.8177777777777778,seuil,2,3267,0,0,24,14,6,2.93
temporel,0.8,1028,True,223,4982,victoire,1.0,3315,0.8,seuil,4,3315,0,0,16,23,10,3.56
temporel,0.8,1029,False,222,5268,corps,1.0,3910,0.8,seuil,17,3910,0,0,23,13,12,3.62
temporel,0.9,1000,True,223,6406,victoire,1.0,5723,0.9022222222222223,seuil,1,5723,0,0,11,11,2,1.69
temporel,0.9,1001,True,223,5639,victoire,1.0,4672,0.9022222222222223,seuil,27,4672,0,0,10,11,4,2.15
temporel,0.9,1002,False,199,4489,corps,0.8977777777777778,,,,0,,0,0,0,0,0,0.76
temporel,0.9,1003,True,223,5161,victoire,1.0,4572,0.9066666666666666,seuil,78,4572,0,0,10,10,4,7.38
temporel,0.9,1004,False,219,7892,boucle,0.9866666666666667,,,,0,,0,0,0,0,0,11.06
temporel,0.9,1005,False,222,6092,corps,1.0,,,,0,,0,0,0,0,0,8.31
temporel,0.9,1006,True,223,5690,victoire,1.0,5009,0.9066666666666666,seuil,2,5009,0,0,6,14,4,2.05
temporel,0.9,1007,False,221,5781,corps,0.9955555555555555,5215,0.9066666666666666,seuil,3,5215,0,0,8,6,7,2.18
temporel,0.9,1008,False,185,3648,corps,0.8355555555555556,,,,0,,0,0,0,0,0,0.63
temporel,0.9,1009,False,215,9131,boucle,0.9688888888888889,,,,0,,0,0,0,0,0,12.48
temporel,0.9,1010,False,221,6112,corps,0.9955555555555555,5252,0.9022222222222223,seuil,2,5252,0,0,9,8,5,2.13
